# Output of 'KaSim' '-i' 'model_000_000.kappa' '-l' '90' '-p' '10' '-o' 'model_000_000.002.out.txt' '-syntax' '3' '--no-log' -seed 2998694
# "uuid" : "349927873"
"[T]","rpoA_RNA","rpoB_RNA","rpoC_RNA","rpoD_RNA","rpoE_RNA","rpoH_RNA","fliA_RNA","rpoN_RNA","rpoS_RNA","fecI_RNA","rpoA_Prot","rpoB_Prot","rpoC_Prot","rpoD_Prot","rpoE_Prot","rpoH_Prot","fliA_Prot","rpoN_Prot","rpoS_Prot","fecI_Prot","RNAP_cplx"
0.,13,7,6,6,6,6,8,4,5,1,56,28,28,9,4,2,3,3,7,0,0
10.,16,10,9,10,9,8,11,6,10,2,56,28,28,2,3,1,2,3,2,0,7
20.,20,13,10,13,12,13,11,9,12,5,56,28,28,4,3,2,1,3,3,0,5
30.,24,15,13,11,12,12,13,14,9,5,56,28,28,3,3,0,2,2,3,0,9
40.,25,16,15,13,11,13,10,18,9,8,56,28,28,7,3,1,3,2,4,0,2
50.,27,19,18,11,9,11,10,21,10,6,56,28,28,4,2,1,2,2,4,0,6
60.,25,21,19,12,15,12,10,22,9,4,56,28,28,5,1,1,1,3,5,0,6
70.,26,21,18,14,16,14,11,22,8,5,56,28,28,7,2,1,2,3,3,0,6
80.,26,23,20,12,14,13,11,25,7,5,56,28,28,9,2,0,2,2,3,0,6
90.,24,21,19,15,16,13,12,28,8,3,56,28,28,6,2,1,2,3,3,0,4
