# Output of 'KaSim' '-i' 'model_000_000.kappa' '-l' '90' '-p' '10' '-o' 'model_000_000.006.out.txt' '-syntax' '3' '--no-log' -seed 210664832
# "uuid" : "849577025"
"[T]","rpoA_RNA","rpoB_RNA","rpoC_RNA","rpoD_RNA","rpoE_RNA","rpoH_RNA","fliA_RNA","rpoN_RNA","rpoS_RNA","fecI_RNA","rpoA_Prot","rpoB_Prot","rpoC_Prot","rpoD_Prot","rpoE_Prot","rpoH_Prot","fliA_Prot","rpoN_Prot","rpoS_Prot","fecI_Prot","RNAP_cplx"
0.,13,7,6,6,6,6,8,4,5,1,56,28,28,9,4,2,3,3,7,0,0
10.,18,11,8,8,9,8,10,7,6,4,56,28,28,6,3,1,1,3,7,0,2
20.,18,13,11,9,11,9,11,9,7,5,56,28,28,4,4,1,3,1,4,0,5
30.,22,14,12,12,11,12,12,12,8,4,56,28,28,5,3,2,1,1,2,0,7
40.,27,16,14,12,12,16,11,12,10,4,56,28,28,6,3,2,1,1,4,0,6
50.,28,19,17,11,12,15,9,14,9,6,56,28,28,5,1,1,1,2,3,0,7
60.,28,21,18,13,12,14,10,17,12,4,56,28,28,8,4,0,0,1,4,0,6
70.,26,24,22,13,10,11,12,19,10,3,56,28,28,6,2,1,1,3,4,0,5
80.,26,25,24,10,11,10,10,18,11,7,56,28,28,7,2,2,2,1,4,0,5
90.,26,23,21,11,12,12,13,20,12,4,56,28,28,5,3,1,1,3,1,0,7
