# Output of 'KaSim' '-i' 'model_000_000.kappa' '-l' '90' '-p' '10' '-o' 'model_000_000.004.out.txt' '-syntax' '3' '--no-log' -seed 989076807
# "uuid" : "604785166"
"[T]","rpoA_RNA","rpoB_RNA","rpoC_RNA","rpoD_RNA","rpoE_RNA","rpoH_RNA","fliA_RNA","rpoN_RNA","rpoS_RNA","fecI_RNA","rpoA_Prot","rpoB_Prot","rpoC_Prot","rpoD_Prot","rpoE_Prot","rpoH_Prot","fliA_Prot","rpoN_Prot","rpoS_Prot","fecI_Prot","RNAP_cplx"
0.,13,7,6,6,6,6,8,4,5,1,56,28,28,9,4,2,3,3,7,0,0
10.,15,10,9,8,9,9,10,5,8,3,56,28,28,4,4,1,2,2,5,0,5
20.,17,14,12,11,12,12,10,9,9,3,56,28,28,7,3,1,2,3,2,0,5
30.,21,16,15,12,13,12,14,12,9,4,56,28,28,3,2,1,3,2,2,0,11
40.,21,18,16,12,14,12,13,16,8,4,56,28,28,6,1,2,1,3,3,0,5
50.,23,17,15,12,11,14,12,18,10,5,56,28,28,5,4,2,2,2,3,0,3
60.,21,17,16,12,12,16,14,19,10,4,56,28,28,3,4,2,1,2,4,0,5
70.,23,19,16,13,12,16,14,19,9,4,56,28,28,6,3,2,3,1,1,0,6
80.,25,18,16,13,11,18,16,21,10,4,56,28,28,7,4,1,2,3,5,0,3
90.,28,17,15,13,11,18,14,23,9,4,56,28,28,3,3,2,1,2,4,0,4
