# Output of 'KaSim' '-i' 'model_000_000.kappa' '-l' '90' '-p' '10' '-o' 'model_000_000.008.out.txt' '-syntax' '3' '--no-log' -seed 278600911
# "uuid" : "889472833"
"[T]","rpoA_RNA","rpoB_RNA","rpoC_RNA","rpoD_RNA","rpoE_RNA","rpoH_RNA","fliA_RNA","rpoN_RNA","rpoS_RNA","fecI_RNA","rpoA_Prot","rpoB_Prot","rpoC_Prot","rpoD_Prot","rpoE_Prot","rpoH_Prot","fliA_Prot","rpoN_Prot","rpoS_Prot","fecI_Prot","RNAP_cplx"
0.,13,7,6,6,6,6,8,4,5,1,56,28,28,9,4,2,3,3,7,0,0
10.,15,10,8,9,9,9,13,9,6,3,56,28,28,5,4,1,1,2,4,0,4
20.,15,11,10,11,10,11,10,12,9,4,56,28,28,2,4,2,2,3,2,0,4
30.,18,16,13,7,10,13,13,13,11,4,56,28,28,4,1,1,3,2,3,0,8
40.,20,18,16,10,10,12,11,14,11,7,56,28,28,4,2,1,1,3,4,0,5
50.,23,17,15,13,12,13,8,16,7,6,56,28,28,4,2,0,1,3,5,0,6
60.,24,18,17,14,12,15,11,19,9,8,56,28,28,5,2,0,2,2,4,0,6
70.,24,19,18,13,13,17,10,21,7,6,56,28,28,5,4,2,1,2,3,0,3
80.,26,20,18,13,12,19,11,20,9,7,56,28,28,4,2,2,0,3,4,0,7
90.,28,20,18,12,13,19,11,25,9,6,56,28,28,6,2,1,2,3,5,0,4
