# Output of 'KaSim' '-i' 'model_000_000.kappa' '-l' '90' '-p' '10' '-o' 'model_000_000.009.out.txt' '-syntax' '3' '--no-log' -seed 699090896
# "uuid" : "838493148"
"[T]","rpoA_RNA","rpoB_RNA","rpoC_RNA","rpoD_RNA","rpoE_RNA","rpoH_RNA","fliA_RNA","rpoN_RNA","rpoS_RNA","fecI_RNA","rpoA_Prot","rpoB_Prot","rpoC_Prot","rpoD_Prot","rpoE_Prot","rpoH_Prot","fliA_Prot","rpoN_Prot","rpoS_Prot","fecI_Prot","RNAP_cplx"
0.,13,7,6,6,6,6,8,4,5,1,56,28,28,9,4,2,3,3,7,0,0
10.,16,10,8,7,12,8,10,7,8,3,56,28,28,6,3,2,1,2,5,0,4
20.,20,12,10,10,14,9,11,10,8,5,56,28,28,6,2,1,1,2,3,0,7
30.,21,14,12,9,13,11,12,14,8,6,56,28,28,6,2,1,3,3,2,0,4
40.,21,17,15,12,13,13,12,16,7,6,56,28,28,7,1,1,0,2,4,0,6
50.,23,18,16,12,14,13,13,18,10,8,56,28,28,8,4,1,1,3,1,0,5
60.,26,18,17,11,15,11,13,19,8,6,56,28,28,3,1,2,1,2,3,0,9
70.,25,21,19,12,14,11,14,20,11,7,56,28,28,4,2,2,0,3,1,0,9
80.,23,21,19,12,14,10,12,23,11,6,56,28,28,7,2,2,3,3,1,0,4
90.,26,21,19,13,16,11,15,24,10,4,56,28,28,5,3,1,2,1,4,0,6
