# Output of 'KaSim' '-i' 'model_000_000.kappa' '-l' '90' '-p' '10' '-o' 'model_000_000.007.out.txt' '-syntax' '3' '--no-log' -seed 331670006
# "uuid" : "301792222"
"[T]","rpoA_RNA","rpoB_RNA","rpoC_RNA","rpoD_RNA","rpoE_RNA","rpoH_RNA","fliA_RNA","rpoN_RNA","rpoS_RNA","fecI_RNA","rpoA_Prot","rpoB_Prot","rpoC_Prot","rpoD_Prot","rpoE_Prot","rpoH_Prot","fliA_Prot","rpoN_Prot","rpoS_Prot","fecI_Prot","RNAP_cplx"
0.,13,7,6,6,6,6,8,4,5,1,56,28,28,9,4,2,3,3,7,0,0
10.,18,9,8,10,9,7,10,7,7,4,56,28,28,6,2,2,1,1,3,0,7
20.,21,11,9,9,12,10,10,9,8,5,56,28,28,8,2,2,1,1,4,0,4
30.,24,15,12,12,15,11,11,12,10,3,56,28,28,5,3,2,2,2,6,0,4
40.,24,16,14,13,16,12,13,13,11,4,56,28,28,6,3,1,0,3,3,0,7
50.,26,14,12,14,15,13,14,14,8,6,56,28,28,3,1,1,2,3,5,0,8
60.,28,18,15,13,14,11,14,18,9,3,56,28,28,6,1,2,1,1,4,0,7
70.,33,21,19,10,12,14,16,18,9,5,56,28,28,7,4,2,1,2,3,0,4
80.,35,21,18,9,11,17,15,19,9,4,56,28,28,6,4,2,2,2,2,0,4
90.,34,25,23,11,11,13,13,19,9,6,56,28,28,2,4,2,1,2,4,0,6
